ttd_drug_id,drug_name,disease_name,icd11_code,clinical_status
D0I0SY,MEDI-542,Solid tumour/cancer,2A00-2F9Z,Terminated
D0I0RF,BVT-142,Type-2 diabetes,5A11,Terminated
D0HV6O,AP-23588,Osteoporosis,FB83.0,Terminated
D0HS3X,BCH-2051,Solid tumour/cancer,2A00-2F9Z,Terminated
D0HQ1W,SKF-96365,Angina pectoris,BA40,Terminated
D0HP3M,BILD-1263,Herpes simplex virus infection,1F00,Terminated
D0HJ1Y,BW B70C,Asthma,CA23,Terminated
D0H9SF,A-76202M,Acquired immune deficiency syndrome,1C62.3,Terminated
D0H9QX,FM-TP4000,Non-insulin dependent diabetes,5A11,Terminated
D0H6VG,KF-15766,Allergy,4A80-4A85,Terminated
D0H5PD,CP-0597,Asthma,CA23,Terminated
D0H5CV,ZK-119010,Carcinoma,2A00-2F9Z,Terminated
D0H5CD,GI-129471,Inflammation,1A00-CA43.1,Terminated
D0H4JN,RTI-113,Cocaine addiction,6C45.2,Terminated
D0H4GI,CEP-5214,Solid tumour/cancer,2A00-2F9Z,Terminated
D0H4GE,MSI-469,Periodontal disease,DA0C,Terminated
D0H3XB,TULOPAFANT,Cardiac arrhythmias,BC9Z,Terminated
D0H3CV,Ro-48-8724,Multidrug resistant infection,MG51,Terminated
D0H2UN,SC-108,Cardiovascular disease,BA00-BE2Z,Terminated
D0H2KE,LN-040,leukaemia,2A60-2B33,Terminated
D0H2AM,XR-3054,Solid tumour/cancer,2A00-2F9Z,Terminated
D0H1YE,BE-22179,leukaemia,2A60-2B33,Terminated
D0H1TA,EK-399,Inflammation,1A00-CA43.1,Terminated
D0H0KK,PD-155080,Hypertension,BA00-BA04,Terminated
D0H0IA,WY-28342,Rheumatoid arthritis,FA20,Terminated
D0H0HB,FAV-201,Lymphoma,2A80-2A86,Terminated
D0GZ7B,AG490,Multiple myeloma,2A83,Terminated
D0GZ7B,AG490,Renal transplantation,NE84,Terminated
D0GS7N,L-158809,Hypertension,BA00-BA04,Terminated
D0GO7W,21-AMINOEPOTHILONE B,Solid tumour/cancer,2A00-2F9Z,Terminated
D0GN9J,Org-6632,Solid tumour/cancer,2A00-2F9Z,Terminated
D0GM4S,AG-1284,Human immunodeficiency virus infection,1C62,Terminated
D0GH9Z,GW-275175,Virus infection,1A24-1D9Z,Terminated
D0GH1C,CVT-1,Hypercholesterolaemia,5C80.0,Terminated
D0GE2F,GSK-2485852,Hepatitis C virus infection,1E51.1,Terminated
D0GA3M,BE-16627B,Inflammation,1A00-CA43.1,Terminated
D0G9RW,TAN-1496,Solid tumour/cancer,2A00-2F9Z,Terminated
D0G9AP,E-2011,Anxiety disorder,6B00-6B0Z,Terminated
D0G7YZ,BMS-189664,Myocardial infarction,BA41-BA43,Terminated
D0G7SP,SB-209247,Psoriasis vulgaris,EA90,Terminated
D0G7HO,NS-649,Alzheimer disease,8A20,Terminated
D0G7DP,RP-316,Hemorrhagic shock,MG40.1,Terminated
D0G6US,SLV-322,Heart arrhythmia,BC65,Terminated
D0G6PL,LG-2293,Prostate cancer,2C82.0,Terminated
D0G5ZE,MDL-28170,Alzheimer disease,8A20,Terminated
D0G3MH,PNU-96391A,Substance use disorder,6C4Z,Terminated
D0G2VT,SUN-11031,Anorexia nervosa cachexia,6B80,Terminated
D0G2LT,RGH-1756,Schizophrenia,6A20,Terminated
D0G2JZ,Bisbenzimide (Hoechst 33258),Solid tumour/cancer,2A00-2F9Z,Terminated
D0G2CL,AG-2024,Arthritis,FA20,Terminated
D0G1VS,UK-78282,Inflammation,1A00-CA43.1,Terminated
D0G1RT,L-694247,Migraine,8A80,Terminated
D0G0UZ,SBP-002,Melanoma,2C30,Terminated
D0G0GI,DMP-696,Anxiety disorder,6B00-6B0Z,Terminated
D0FZ1Z,Doxorubicin-CEA conjugate,Breast cancer,2C60-2C65,Terminated
D0FS9K,MINAMESTANE,Bladder cancer,2C94,Terminated
D0FQ4M,Selenotifen,Asthma,CA23,Terminated
D0FN1P,Saviprazole,Peptic ulcer,DA61,Terminated
D0FG6T,NRP-388,Pain,MG30-MG3Z,Terminated
D0FF7A,Z-6568,Hypertension,BA00-BA04,Terminated
D0FC5T,DIAVERIDINE,Bacterial infection,1A00-1C4Z,Terminated
D0FB6T,SYN-987,Bacterial infection,1A00-1C4Z,Terminated
D0F9KI,LAS-30538,Hyperinsulinemia,5A4Y,Terminated
D0F9IS,FR-900482,leukaemia,2A60-2B33,Terminated
D0F9BX,GW-660511,Hypertension,BA00-BA04,Terminated
D0F7XN,M-216765,Hypertension,BA00-BA04,Terminated
D0F7TV,Torbafylline,Peripheral vascular disease,BD4Z,Terminated
D0F7SW,MOL-2591,Thrombosis,DB61-GB90,Terminated
D0F7LE,AZD-0902,Chronic obstructive pulmonary disease,CA22,Terminated
D0F7LE,AZD-0902,Rheumatoid arthritis,FA20,Terminated
D0F7EK,MX-6162,Breast cancer,2C60-2C65,Terminated
D0F6ZS,Ro-25-6833,Bacterial infection,1A00-1C4Z,Terminated
D0F6XR,DV-7028,Cardiovascular disease,BA00-BE2Z,Terminated
D0F6HW,IPH-4201,Pancreatic cancer,2C10,Terminated
D0F6GR,Clentiazem,Angina pectoris,BA40,Terminated
D0F6CI,R-1437,Prostate hyperplasia,GA90,Terminated
D0F6AB,AR-C-89855,Chronic obstructive pulmonary disease,CA22,Terminated
D0F5CO,Enloplatin,Chronic lymphocytic leukaemia,2A82.0,Terminated
D0F4WS,BM-13.1180,Diabetic complication,5A2Y,Terminated
D0F4GJ,Trifenagrel,Inflammation,1A00-CA43.1,Terminated
D0F3TI,PT-630,Type-2 diabetes,5A11,Terminated
D0F2TY,EBV-related Hodgkin's disease vaccine,Hodgkin lymphoma,2B30,Terminated
D0F2PZ,SUN-E3001,Osteoporosis,FB83.0,Terminated
D0F2PQ,BL-1050,Human immunodeficiency virus infection,1C62,Terminated
D0F1KP,PSN821,Type-2 diabetes,5A11,Terminated
D0F1EI,AZD-0303,Thrombosis,DB61-GB90,Terminated
D0F1AX,CB-102930,Bacterial infection,1A00-1C4Z,Terminated
D0F0TW,SL-910102,Hypertension,BA00-BA04,Terminated
D0F0CS,ZARDAVERINE,Chronic obstructive pulmonary disease,CA22,Terminated
D0EP5O,NS-377,Alzheimer disease,8A20,Terminated
D0EN4G,R-102444,Pancreatitis,DC31-DC34,Terminated
D0EH2O,BIMG80,Psychotic disorder,6A20-6A25,Terminated
D0EG1F,GR-199114X,Stomach ulcer,DA60.Z,Terminated
D0EF9I,A-76895,Epilepsy,8A60-8A68,Terminated
D0EF7V,Ro-31-4724,Arthritis,FA20,Terminated
D0EA7H,LF-7-0165c,Arteriosclerosis,BD40,Terminated
D0E9PT,CK-2289,Cardiac failure,BD10-BD13,Terminated
D0E8SE,443C81,Asthma,CA23,Terminated
D0E8JL,ZT-386,Asthma,CA23,Terminated
D0E7BP,CP-663427,Solid tumour/cancer,2A00-2F9Z,Terminated
D0E7BC,GM-CSF-expressing oncolytic adenovirus,Solid tumour/cancer,2A00-2F9Z,Terminated
D0E6VL,RWJ-22108,Allergy,4A80-4A85,Terminated
D0E6OA,TERIKALANT,Cardiac arrhythmias,BC9Z,Terminated
D0E6LC,SPR-210,Diabetic complication,5A2Y,Terminated
D0E6JF,CL-329753,Solid tumour/cancer,2A00-2F9Z,Terminated
D0E5GY,RO-319790,Rheumatoid arthritis,FA20,Terminated
D0E4WF,METHYLTHIOADENOSINE,Multiple sclerosis,8A40,Terminated
D0E4UB,AX-201,Cerebrovascular ischaemia,8B1Z,Terminated
D0E4RG,NCX-4215,Hypertension,BA00-BA04,Terminated
D0E4MX,Myomap,Cardiovascular disease,BA00-BE2Z,Terminated
D0E4HZ,F-12682,Major depressive disorder,6A70.3,Terminated
D0E3QU,Cytovaxine,Pseudomonas infection,1B92,Terminated
D0E3LW,NV-27,Artery stenosis,BD52,Terminated
D0E2CO,BMY-22089,Hyperlipidaemia,5C80,Terminated
D0E1ZE,BBB-022,Cerebrovascular ischaemia,8B1Z,Terminated
D0E1WY,EFIPLADIB,Asthma,CA23,Terminated
D0E1SQ,BIBW-22,Solid tumour/cancer,2A00-2F9Z,Terminated
D0E0GW,BVT-3498,Metabolic disorder,5C50-5D2Z,Terminated
D0DX6L,SDZ-PSD-958,Psychiatric disorder,6E8Z,Terminated
D0DS4P,CGS-26393,Heart disease,BA41-BA42,Terminated
D0DR3I,S-33516,Arthritis,FA20,Terminated
D0DP8P,BW755C,Inflammation,1A00-CA43.1,Terminated
D0DN1I,JTT-551,Type-2 diabetes,5A11,Terminated
D0DM5A,SIM-6080,Angina pectoris,BA40,Terminated
D0DJ8D,GPI-16552,Cerebrovascular ischaemia,8B1Z,Terminated
D0DJ5T,Ecomustine,Solid tumour/cancer,2A00-2F9Z,Terminated
D0DI3E,DHP-218,Hypertension,BA00-BA04,Terminated
D0DG9M,AZD-9139,Gastrointestinal disease,DE2Z,Terminated
D0DG0W,ALX-0625,Migraine,8A80,Terminated
D0DD0O,D-21805,Solid tumour/cancer,2A00-2F9Z,Terminated
D0D8ZU,AX-205,Motor neurone disease,8B60,Terminated
D0D8MD,ZM-230487,Asthma,CA23,Terminated
D0D8KI,Ad5-AC6,Cardiac failure,BD10-BD13,Terminated
D0D5IJ,LN-030,Prostate cancer,2C82.0,Terminated
D0D4XF,Daniplestim,Osteoporosis,FB83.0,Terminated
D0D3HV,PLR-21,Psychiatric disorder,6E8Z,Terminated
D0D2RZ,SDZ-267-489,Arteriosclerosis,BD40,Terminated
D0D2PQ,CT-2412,Solid tumour/cancer,2A00-2F9Z,Terminated
D0D2JD,TH-0318,Diabetic complication,5A2Y,Terminated
D0D1GV,CNS-1237,Cerebrovascular ischaemia,8B1Z,Terminated
D0D0XX,LY-290154,Asthma,CA23,Terminated
D0D0QA,AZD6482,Thrombosis,DB61-GB90,Terminated
D0CY4V,Cetamolol,Angina pectoris,BA40,Terminated
D0CY2Z,HuMax-HepC,Hepatitis C virus infection,1E51.1,Terminated
D0CX2J,R-1315,Alzheimer disease,8A20,Terminated
D0CV7T,Patamostat,Hypotension,BA20-BA21,Terminated
D0CS0D,WAY-121898,Arteriosclerosis,BD40,Terminated
D0CQ8D,AMR-103,Parkinson disease,8A00.0,Terminated
D0CI5O,SPD-474,Parkinson disease,8A00.0,Terminated
D0CH6Z,BBR 3576,Prostate cancer,2C82.0,Terminated
D0C9RZ,BU-4601A,Asthma,CA23,Terminated
D0C9RV,SRSS-016,Pain,MG30-MG3Z,Terminated
D0C9KQ,Genimune,Autoimmune diabetes,5A10,Terminated
D0C8ZD,A-71623,Obesity,5B81,Terminated
D0C8PQ,CVS-3083,Solid tumour/cancer,2A00-2F9Z,Terminated
D0C8DC,Ki-1769,Hypertension,BA00-BA04,Terminated
D0C7RV,SR12813,Arteriosclerosis,BD40,Terminated
D0C7KK,Zenarestat,Diabetic neuropathy,8C0Z,Terminated
D0C7FN,BMY-40062,Bacterial infection,1A00-1C4Z,Terminated
D0C6FL,SPD-704,Neisseria meningitis infection,1C1C.0,Terminated
D0C5YQ,SDZ-62-826,Solid tumour/cancer,2A00-2F9Z,Terminated
D0C5YK,NMI-102,Inflammation,1A00-CA43.1,Terminated
D0C5OF,Ro-44-3949,Bacterial infection,1A00-1C4Z,Terminated
D0C5LI,SL-91.0893,Prostate hyperplasia,GA90,Terminated
D0C5HV,R zileuton,Asthma,CA23,Terminated
D0C5DM,SC-52150,Vomiting,MD90,Terminated
D0C4YF,TAN-1518A,Carcinoma,2A00-2F9Z,Terminated
D0C4JX,QX-314,Pain,MG30-MG3Z,Terminated
D0C4HZ,PLR-9,Bacterial infection,1A00-1C4Z,Terminated
D0C3TE,TEI-9874,Allergy,4A80-4A85,Terminated
D0C3LM,RAS-111,Sepsis,1G40-1G41,Terminated
D0C3DH,RAAV vaccine,Melanoma,2C30,Terminated
D0C1MB,FR-180102,Helicobacter infection,DA42-DA63,Terminated
D0C0JT,Nimesulide,Non-hodgkin lymphoma,2B33.5,Terminated
D0C0JT,Nimesulide,Metastatic colorectal cancer,2B91,Terminated
D0C0JT,Nimesulide,Non-small-cell lung cancer,2C25.Y,Terminated
D0C0EX,SDZ-MTH-958,Artery stenosis,BD52,Terminated
D0BX1S,CD-832,Angina pectoris,BA40,Terminated
D0BW9R,BMS-181184,Fungal infection,1F29-1F2F,Terminated
D0BU5Z,Argyrin B,Bacterial infection,1A00-1C4Z,Terminated
D0BM3R,LY-307853,Fungal infection,1F29-1F2F,Terminated
D0BB1X,KRP-105,Lipid metabolism disorder,5C52.Z,Terminated
D0B9TX,Darodipine,Cerebrovascular ischaemia,8B1Z,Terminated
D0B9CA,Tuvirumab,Hepatitis B virus infection,1E51.0,Terminated
D0B8QA,RP-66055,Cerebral infarction,8B11.5Z,Terminated
D0B8NW,ICA-1,Solid tumour/cancer,2A00-2F9Z,Terminated
D0B7ND,UR-8225,Asthma,CA23,Terminated
D0B7HJ,U-54494A,Epilepsy,8A60-8A68,Terminated
D0B7BX,E-6276,Schizophrenia,6A20,Terminated
D0B6WN,AVE0675,Asthma,CA23,Terminated
D0B6VQ,D-20450,Inflammation,1A00-CA43.1,Terminated
D0B6QO,NPI-1999,Thrombosis,DB61-GB90,Terminated
D0B6BQ,ZD-6003,Solid tumour/cancer,2A00-2F9Z,Terminated
D0B5HA,ISIS-5320,Human immunodeficiency virus infection,1C62,Terminated
D0B4CO,NNC-14-0185,Epilepsy,8A60-8A68,Terminated
D0B4AB,ACEA-2085,Pain,MG30-MG3Z,Terminated
D0B3MV,SSR-69071,Chronic obstructive pulmonary disease,CA22,Terminated
D0B3CT,BE-13793C,Solid tumour/cancer,2A00-2F9Z,Terminated
D0B2LF,R-253,Solid tumour/cancer,2A00-2F9Z,Terminated
D0B2CQ,GR-131663,Anxiety disorder,6B00-6B0Z,Terminated
D0B1VQ,GR-133347,Anxiety disorder,6B00-6B0Z,Terminated
D0B1PD,NPC-16377,Psychotic disorder,6A20-6A25,Terminated
D0B0WW,Physostigmine/scopolamine,Nicotine dependence,6C4A.2,Terminated
D0B0TO,L-768277,Hyperthermia,MG26,Terminated
D0B0QX,MSC-204,Human immunodeficiency virus infection,1C62,Terminated
D0B0GC,E-0722,Diabetic cataract,9B10.21,Terminated
D0AZ5V,L-698544,Alzheimer disease,8A20,Terminated
D0AX4E,Bertosamil,Angina pectoris,BA40,Terminated
D0AN1Y,L-670596,Asthma,CA23,Terminated
D0AD9Y,Kifunensine,Muscular dystrophy,8C70,Terminated
D0AB7G,MCI-826,Asthma,CA23,Terminated
D0A9VO,GYKI-52466,Alzheimer disease,8A20,Terminated
D0A8HL,DMP-811,Hypertension,BA00-BA04,Terminated
D0A8BK,MEN-10979,Human immunodeficiency virus-1 infection,1C62,Terminated
D0A7VF,CP-79328,Solid tumour/cancer,2A00-2F9Z,Terminated
D0A7PW,CP-903397,Schizophrenia,6A20,Terminated
D0A6PL,S-14506,Anxiety disorder,6B00-6B0Z,Terminated
D0A5ZJ,DW-1350,Osteoporosis,FB83.0,Terminated
D0A5PM,PPRT-550,Premenstrual syndrome,GA34.40,Terminated
D0A5CU,Ro-24-1882,Bacterial infection,1A00-1C4Z,Terminated
D0A4XN,PRS-639058,Neuropathic pain,8E43.0,Terminated
D0A4VI,AZD-2914,Chronic obstructive pulmonary disease,CA22,Terminated
D0A3OF,GMC-283,Schizophrenia,6A20,Terminated
D0A3HF,VE-16084,Rheumatoid arthritis,FA20,Terminated
D0A3AB,NCY-118,Sepsis,1G40-1G41,Terminated
D0A2IK,NPS-846,Cerebrovascular ischaemia,8B1Z,Terminated
D0A1GJ,CY-9652,Inflammation,1A00-CA43.1,Terminated
D0A0MJ,Nerve growth factor,Alzheimer disease,8A20,Terminated
D0A0CC,Viperfav,Poison intoxication,NE6Z,Terminated
D09ZVR,MDL-43291,Asthma,CA23,Terminated
D09ZFF,HRC-101,Blood transfusion,QB98,Terminated
D09ZCH,HRC-201,Liver cancer,2C12,Terminated
D09ZAV,RG-8803,Diabetic retinopathy,9B71.0,Terminated
D09YUS,KRG-3332,Glaucoma/ocular hypertension,9C61,Terminated
D09YUQ,SR-11237,Solid tumour/cancer,2A00-2F9Z,Terminated
D09XYU,XR-12890,Asthma,CA23,Terminated
D09XXW,Co-2-1068,Epilepsy,8A60-8A68,Terminated
D09XPJ,Micacocidin A,Bacterial infection,1A00-1C4Z,Terminated
D09XNZ,CT-2408R,Shock,MG40,Terminated
D09XMP,SC-114,Autoimmune diabetes,5A10,Terminated
D09WPN,AP22408,Osteoporosis,FB83.0,Terminated
D09VRZ,AZM-131,Obesity,5B81,Terminated
D09VQO,CLR-901,Neurological disorder,6B60,Terminated
D09VHA,BDF-9148,Cardiac failure,BD10-BD13,Terminated
D09TRM,D-5410,Rheumatoid arthritis,FA20,Terminated
D09SCI,SKF-104351,Rheumatoid arthritis,FA20,Terminated
D09RTF,VT-1,Breast cancer,2C60-2C65,Terminated
D09RMS,AMT-070,Liver cirrhosis,DB93.1,Terminated
D09QVT,Streptococcus vaccines,Streptococcus infection,1B53,Terminated
D09QRO,CGS-13080,Asthma,CA23,Terminated
D09QOF,EM-2487,Human immunodeficiency virus infection,1C62,Terminated
D09PTL,SRI-3072,Mycobacterium infection,1B10-1B21,Terminated
D09PRY,CB-28,Aging skin,EE40,Terminated
D09PPF,CNS-1067,Epilepsy,8A60-8A68,Terminated
D09PEV,Itazigrel,Thrombosis,DB61-GB90,Terminated
D09OTG,MS-377,Schizophrenia,6A20,Terminated
D09OTF,ACEA-1031,Cerebrovascular ischaemia,8B1Z,Terminated
D09NKX,ANA-246,Hepatitis C virus infection,1E51.1,Terminated
D09MOD,NNC-252504,Type-2 diabetes,5A11,Terminated
D09LQP,RG-14893,Asthma,CA23,Terminated
D09LIE,ASIbcl vaccine,B-cell lymphoma,2A86,Terminated
D09KLO,AZD-5106,Urinary incontinence,MF50.2,Terminated
D09KKD,AZD-3118,Heart arrhythmia,BC65,Terminated
D09KGZ,QG-AGC1,Solid tumour/cancer,2A00-2F9Z,Terminated
D09JYF,Epocarbazolin-A,Asthma,CA23,Terminated
D09IUG,F-3796,Alzheimer disease,8A20,Terminated
D09ICC,SB220025,Arthritis,FA20,Terminated
D09HIC,BF-388,Inflammation,1A00-CA43.1,Terminated
D09GRB,NNC-90-0270,Alzheimer disease,8A20,Terminated
D09GIP,QRS-5-005,Sepsis,1G40-1G41,Terminated
D09GGO,A-252444.0,Inflammation,1A00-CA43.1,Terminated
D09FQB,UR-12460,Thrombosis,DB61-GB90,Terminated
D09FJH,CFC-240,Bacterial infection,1A00-1C4Z,Terminated
D09ENA,Org-30035,Psychotic disorder,6A20-6A25,Terminated
D09EBJ,MC-02306,Bacterial infection,1A00-1C4Z,Terminated
D09DRG,NE-100,Schizophrenia,6A20,Terminated
D09DLN,L-739749,Solid tumour/cancer,2A00-2F9Z,Terminated
D09DAQ,ISIS 353512,Cardiovascular disease,BA00-BE2Z,Terminated
D09CTY,OPHD-002,Inflammatory bowel disease,DD72,Terminated
D09CRQ,RPK-739,Solid tumour/cancer,2A00-2F9Z,Terminated
D09BWC,E-4080,Angina pectoris,BA40,Terminated
D09BVL,NS-1619,Asthma,CA23,Terminated
D09BRE,U-78517F,Asthma,CA23,Terminated
D09BKE,NS398,Endometriosis,GA10,Terminated
D09BID,PRO-206,Hepatitis C virus infection,1E51.1,Terminated
D09BHF,WF-2421,Diabetic complication,5A2Y,Terminated
D09BHA,LY-353433,Inflammatory bowel disease,DD72,Terminated
D09BCC,ImmuDyn,Human immunodeficiency virus infection,1C62,Terminated
D09AGZ,CEE-04-421,Pain,MG30-MG3Z,Terminated
D09AAM,ICI-164384,Breast cancer,2C60-2C65,Terminated
D08ZZO,NS-696,Epilepsy,8A60-8A68,Terminated
D08ZXH,AX-208,Parkinson disease,8A00.0,Terminated
D08ZIH,CGX-1160,Acute or chronic pain,MG30-MG31,Terminated
D08ZFC,IGN-312,Solid tumour/cancer,2A00-2F9Z,Terminated
D08ZAX,RS-93522,Hypertension,BA00-BA04,Terminated
D08YRD,A-717,Diabetic complication,5A2Y,Terminated
D08XOT,LY467711,Migraine,8A80,Terminated
D08XOT,LY467711,Neuropathic pain,8E43.0,Terminated
D08WBF,BB-3644,Solid tumour/cancer,2A00-2F9Z,Terminated
D08VWL,BRL-42715,Bacterial infection,1A00-1C4Z,Terminated
D08VTA,EXP-6803,Hypertension,BA00-BA04,Terminated
D08VKZ,Edaglitazone,Type-2 diabetes,5A11,Terminated
D08VKQ,INGN-007,Solid tumour/cancer,2A00-2F9Z,Terminated
D08VJI,F-14413,Alzheimer disease,8A20,Terminated
D08VGS,Recombinant protein subunit vaccine  (seasonal influenza),Influenza virus infection,1E30-1E32,Terminated
D08ULI,Org-4094,Autoimmune diabetes,5A10,Terminated
D08TCU,GT-4001,Alzheimer disease,8A20,Terminated
D08RDC,R-765,Non-insulin dependent diabetes,5A11,Terminated
D08QYJ,SORETOLIDE,Convulsion,8A68.Z,Terminated
D08QTP,BMS-433771,Respiratory syncytial virus infection,1C80,Terminated
D08QJD,IGN-311,Solid tumour/cancer,2A00-2F9Z,Terminated
D08PUW,BAICALIN,Human immunodeficiency virus infection,1C62,Terminated
D08OUU,Genevx,Angina pectoris,BA40,Terminated
D08NQG,VB2-011,Solid tumour/cancer,2A00-2F9Z,Terminated
D08NPB,TO-195,Nephritis,GB40,Terminated
D08NHF,SR-11335,Human immunodeficiency virus-1 infection,1C62,Terminated
D08MYO,LAG-078,Lipid metabolism disorder,5C52.Z,Terminated
D08MVK,GCC-AP0341,Asthma,CA23,Terminated
D08MLG,CNI-H0294,Human immunodeficiency virus-1 infection,1C62,Terminated
D08MJX,R-56865,Angina pectoris,BA40,Terminated
D08MDX,ED-001,Hepatitis C virus infection,1E51.1,Terminated
D08MDV,CT-3501,Coronary artery disease,BA80,Terminated
D08MCO,SPD-703,Otitis media,AA80-AB0Z,Terminated
D08MAR,CP-230821,Arteriosclerosis,BD40,Terminated
D08LUT,ABT-702,Pain,MG30-MG3Z,Terminated
D08LLR,UK-51656,Cardiovascular disease,BA00-BE2Z,Terminated
D08LHE,Prinoxodan,Cardiac failure,BD10-BD13,Terminated
D08LFX,MB-300,Breast cancer,2C60-2C65,Terminated
D08LDG,Org-31433,Dementia,6D80-6D86,Terminated
D08KXE,RP-67580,Pain,MG30-MG3Z,Terminated
D08KDP,AS-8112,Vomiting,MD90,Terminated
D08KDL,TES-23-NCS,Solid tumour/cancer,2A00-2F9Z,Terminated
D08JKK,RWJ-63556,Arthritis,FA20,Terminated
D08IRR,Org-10490,Psychotic disorder,6A20-6A25,Terminated
D08IHF,A-74932,Lung cancer,2C25.0,Terminated
D08IDQ,BILA-2157BS,Hypertension,BA00-BA04,Terminated
D08HES,MC-02331,Gram-positive bacterial infection,1B74-1G40,Terminated
D08HDD,RP-58802B,Asthma,CA23,Terminated
D08GQK,WS-75624B,Cardiovascular disease,BA00-BE2Z,Terminated
D08GNA,SKF-106610,Autoimmune diabetes,5A10,Terminated
D08FHV,NY-008,Hypertension,BA00-BA04,Terminated
D08FAT,RP-170,Carcinoma,2A00-2F9Z,Terminated
D08EVM,FR-128998,Thrombocytopenia,3B64,Terminated
D08ELM,RWJ-58259,Artery stenosis,BD52,Terminated
D08EIX,T-686,Arteriosclerosis,BD40,Terminated
D08BIN,Munumbicins,Bacterial infection,1A00-1C4Z,Terminated
D08BCU,U-90042,Anxiety disorder,6B00-6B0Z,Terminated
D08ALQ,RPR-101821,Arteriosclerosis,BD40,Terminated
D07ZKK,131I-81C6,Brain cancer,2A00,Terminated
D07YUY,MDL-29311,Arteriosclerosis,BD40,Terminated
D07YNH,SAN-61,Alzheimer disease,8A20,Terminated
D07XHJ,TAN-950A,Fungal infection,1F29-1F2F,Terminated
D07XGT,AM-577,Pain,MG30-MG3Z,Terminated
D07XAX,AEP-924,Major depressive disorder,6A70.3,Terminated
D07WDS,NNC-14-0189,Epilepsy,8A60-8A68,Terminated
D07VUD,ZD-3980,Prostate hyperplasia,GA90,Terminated
D07VMC,LY-243062,Inflammation,1A00-CA43.1,Terminated
D07ULS,DDG-39,Acquired immune deficiency syndrome,1C62.3,Terminated
D07ULK,OX-23,Pain,MG30-MG3Z,Terminated
D07UHY,NIK-616,Chronic obstructive pulmonary disease,CA22,Terminated
D07UAJ,CMB-401,Breast cancer,2C60-2C65,Terminated
D07TNU,DACTIMICIN,Bacterial infection,1A00-1C4Z,Terminated
D07THJ,IPH-3102,Solid tumour/cancer,2A00-2F9Z,Terminated
D07TDT,L-733560,Aspergillosis,1F20,Terminated
D07SZJ,A-75169,Glaucoma/ocular hypertension,9C61,Terminated
D07SXO,AG-041R,Ulcerative colitis,DD71,Terminated
D07SEB,BM-17.0505,Diabetic complication,5A2Y,Terminated
D07SDE,Pranidipine,Angina pectoris,BA40,Terminated
D07RPB,HT-90B,Anxiety disorder,6B00-6B0Z,Terminated
D07QXG,EF-27,Radiation syndrome,NF00,Terminated
D07QSA,CP-83101,Arteriosclerosis,BD40,Terminated
D07PSP,U-75875,Human immunodeficiency virus infection,1C62,Terminated
D07PMU,111In-OC-125 F(ab1/2)-DTPA,Ovarian cancer,2C73,Terminated
D07PLK,WIN-64821,Asthma,CA23,Terminated
D07PIA,AG-1350,Human immunodeficiency virus infection,1C62,Terminated
D07PAY,B-956,Solid tumour/cancer,2A00-2F9Z,Terminated
D07PAG,U-97456,Bacterial infection,1A00-1C4Z,Terminated
D07OUE,AUX-202,Bone metastases,2D50,Terminated
D07OLO,Milacemide,Alzheimer disease,8A20,Terminated
D07OGR,YM-26734,Rheumatoid arthritis,FA20,Terminated
D07OEY,ZK-118182,Thrombosis,DB61-GB90,Terminated
D07OCC,JSM-10292,Pain,MG30-MG3Z,Terminated
D07NWC,SC-241,Anxiety disorder,6B00-6B0Z,Terminated
D07MWY,XR-1853,Thrombosis,DB61-GB90,Terminated
D07MTL,SRSC-371,Epilepsy,8A60-8A68,Terminated
D07LEW,BIBS-39,Hypertension,BA00-BA04,Terminated
D07KIJ,INCB3344,Arteriosclerosis,BD40,Terminated
D07JSK,Sulotroban,Asthma,CA23,Terminated
D07JOS,NS-004,Hypertension,BA00-BA04,Terminated
D07IZF,Sch-57790,Alzheimer disease,8A20,Terminated
D07IGE,Glyfoline,Solid tumour/cancer,2A00-2F9Z,Terminated
D07IEM,AMG-8562,Pain,MG30-MG3Z,Terminated
D07GZZ,Grass allergy vaccine,Allergic rhinitis,CA08.0,Terminated
D07GQA,ZD-7155,Hypertension,BA00-BA04,Terminated
D07GLX,CNS-1531,Nervous system disease,8A00-8E7Z,Terminated
D07GIB,AZD5672,Rheumatoid arthritis,FA20,Terminated
D07FWH,RU-59863,Bacterial infection,1A00-1C4Z,Terminated
D07FHZ,Ro 20-1724,Asthma,CA23,Terminated
D07FHI,Chlamydia vaccine,Chlamydia infection,1A81,Terminated
D07FDM,FR-901379,Pneumocystis pneumonia,CA40.20,Terminated
D07EGS,CGS-23425,Arteriosclerosis,BD40,Terminated
D07DGM,BQ-518,Hypertension,BA00-BA04,Terminated
D07DCX,CDP-855,Autoimmune diabetes,5A10,Terminated
D07CGH,1D09C3,Solid tumour/cancer,2A00-2F9Z,Terminated
D07BCO,WAY-100635,Eating disorder,6B82,Terminated
D07BBD,Zona pellucida contraceptive vaccine,Contraception,QA21,Terminated
D07AGR,SB-206284A,Cerebrovascular ischaemia,8B1Z,Terminated
D06ZZL,MEDI-500,Bone marrow transplantation,QB63.6,Terminated
D06ZKG,SC-56525,Hypertension,BA00-BA04,Terminated
D06ZAM,MF268,Alzheimer disease,8A20,Terminated
D06YOD,ZD-7717,Asthma,CA23,Terminated
D06XRQ,AA-861,Allergy,4A80-4A85,Terminated
